year,month,period,district_cn,district_en,headcount,hour,zone
2026,7,03:00,新橋區,Barca,1153,3,Macau Peninsula
2026,7,03:00,中區,Baixa de Macau,5659,3,Macau Peninsula
2026,7,03:00,氹仔中心區,Baixa da Taipa,4431,3,Taipa & Cotai
2026,7,03:00,台山區,Tamagnini Barbosa,1522,3,Macau Peninsula
2026,7,03:00,黑沙環新填海區,Novos Aterros da Areia Preta,1426,3,Macau Peninsula
2026,7,03:00,望廈及水塘區,Móng Há & Reservatório,837,3,Macau Peninsula
2026,7,03:00,外港及南灣湖新填海區,Novos Aterros do Porto Exterior & Aterros da Baía da Praia Grande,10658,3,Macau Peninsula
2026,7,03:00,路氹填海區,COTAI Reclamation Area,61582,3,Taipa & Cotai
2026,7,03:00,黑沙環及祐漢區,Areia Preta & Iao Hon,1632,3,Macau Peninsula
2026,7,03:00,下環區,Barra/Manduco,2522,3,Macau Peninsula
2026,7,03:00,荷蘭園區,Conselheiro Ferreira de Almeida,830,3,Macau Peninsula
2026,7,03:00,林茂塘區,Doca do Lamau,512,3,Macau Peninsula
2026,7,03:00,沙梨頭及大三巴區,Patane & São Paulo,2713,3,Macau Peninsula
2026,7,03:00,新口岸區,Zona de Aterros do Porto Exterior,13333,3,Macau Peninsula
2026,7,03:00,高士德及雅廉訪區,Horta e Costa & Ouvidor Arriaga,658,3,Macau Peninsula
2026,7,03:00,筷子基區,Fai Chi Kei,475,3,Macau Peninsula
2026,7,03:00,氹仔舊城及馬場區,Cidade & Hipódromo da Taipa,4063,3,Taipa & Cotai
2026,7,03:00,路環區,Coloane,1636,3,Coloane
2026,7,03:00,北安及大潭山區,Pac On & Taipa Grande,2848,3,Taipa & Cotai
2026,7,03:00,青洲區,Ilha Verde,304,3,Macau Peninsula
2026,7,03:00,南西灣及主教山區,Praia Grande & Penha,1233,3,Macau Peninsula
2026,7,03:00,海洋及小潭山區,Jardins do Oceano & Taipa Pequena,423,3,Taipa & Cotai
2026,7,03:00,東望洋區(松山區),Ferreira do Amaral (Guia),403,3,Macau Peninsula
2026,7,03:00,大學及北安灣區,Universidade & Baía de Pac On,271,3,Taipa & Cotai
2026,7,04:00,新橋區,Barca,1149,4,Macau Peninsula
2026,7,04:00,中區,Baixa de Macau,5421,4,Macau Peninsula
2026,7,04:00,氹仔中心區,Baixa da Taipa,4334,4,Taipa & Cotai
2026,7,04:00,台山區,Tamagnini Barbosa,1501,4,Macau Peninsula
