year,month,hour,period,district_cn,district_en,zone,headcount,month_total_arrivals,daily_bus_departures,departures_share_pct,supply_demand_ratio
2026,7,2,02:00,氹仔中心區,Baixa da Taipa,Taipa & Cotai,4499,3542218.0,66570.0,28.42,0.507
2026,7,2,02:00,台山區,Tamagnini Barbosa,Macau Peninsula,1521,3542218.0,155940.0,66.58,1.577
2026,7,2,02:00,黑沙環新填海區,Novos Aterros da Areia Preta,Macau Peninsula,1466,3542218.0,155940.0,66.58,1.577
2026,7,2,02:00,望廈及水塘區,Móng Há & Reservatório,Macau Peninsula,872,3542218.0,155940.0,66.58,1.577
2026,7,2,02:00,外港及南灣湖新填海區,Novos Aterros do Porto Exterior & Aterros da Baía da Praia Grande,Macau Peninsula,11106,3542218.0,155940.0,66.58,1.577
2026,7,2,02:00,路氹填海區,COTAI Reclamation Area,Taipa & Cotai,61831,3542218.0,66570.0,28.42,0.507
2026,7,2,02:00,黑沙環及祐漢區,Areia Preta & Iao Hon,Macau Peninsula,1625,3542218.0,155940.0,66.58,1.577
2026,7,2,02:00,下環區,Barra/Manduco,Macau Peninsula,2538,3542218.0,155940.0,66.58,1.577
2026,7,2,02:00,荷蘭園區,Conselheiro Ferreira de Almeida,Macau Peninsula,822,3542218.0,155940.0,66.58,1.577
2026,7,2,02:00,林茂塘區,Doca do Lamau,Macau Peninsula,516,3542218.0,155940.0,66.58,1.577
2026,7,2,02:00,沙梨頭及大三巴區,Patane & São Paulo,Macau Peninsula,2727,3542218.0,155940.0,66.58,1.577
2026,7,2,02:00,新口岸區,Zona de Aterros do Porto Exterior,Macau Peninsula,12935,3542218.0,155940.0,66.58,1.577
2026,7,2,02:00,高士德及雅廉訪區,Horta e Costa & Ouvidor Arriaga,Macau Peninsula,651,3542218.0,155940.0,66.58,1.577
2026,7,2,02:00,筷子基區,Fai Chi Kei,Macau Peninsula,488,3542218.0,155940.0,66.58,1.577
2026,7,2,02:00,氹仔舊城及馬場區,Cidade & Hipódromo da Taipa,Taipa & Cotai,4174,3542218.0,66570.0,28.42,0.507
2026,7,2,02:00,路環區,Coloane,Coloane,1612,3542218.0,11693.0,4.99,2.988
2026,7,2,02:00,北安及大潭山區,Pac On & Taipa Grande,Taipa & Cotai,2846,3542218.0,66570.0,28.42,0.507
2026,7,2,02:00,青洲區,Ilha Verde,Macau Peninsula,310,3542218.0,155940.0,66.58,1.577
2026,7,2,02:00,南西灣及主教山區,Praia Grande & Penha,Macau Peninsula,1199,3542218.0,155940.0,66.58,1.577
