code,nameCht,namePor,parentCode,lat,lng,zone,stop_code,n_routes,n_route_dir,n_records,nn_dist_m
T345_6,氹仔客運碼頭,TERMINAL MARÍTIMO DE PASSAGEIROS DA TAIPA,T345,22.162777,113.576252,Taipa & Cotai,T345_6,2,3,3,32.848195151625305
T345_8,氹仔客運碼頭,TERMINAL MARÍTIMO DE PASSAGEIROS DA TAIPA,T345,22.163148,113.57511,Taipa & Cotai,T345_8,1,1,1,76.2644116531687
T346_1,廣東大馬路/鴻發,AV.KWONG TUNG / EDF. HUNG FAT,T346,22.161829,113.5546,Taipa & Cotai,T346_1,2,2,2,93.71414585634787
T347_1,運動場/體育中心,ESTÁDIO / CENTRO DESPORTIVO,T347,22.155103,113.552535,Taipa & Cotai,T347_1,8,8,8,36.54374869952686
T348_1,路環發電廠,CENTRAL TÉRMICA DE COLOANE,T348,22.138606,113.574511,Taipa & Cotai,T348_1,2,2,2,21.998744584950106
T349_1,路環電廠圓形地,R. DA CENTRAL TÉRMICA DE COLOANE,T349,22.138757,113.574373,Taipa & Cotai,T349_1,1,1,1,21.998744584950106
T350_1,廣東大馬路/馬會,AV.KWONG TUNG / JOCKEY CLUB,T350,22.158005,113.549097,Taipa & Cotai,T350_1,2,2,2,72.47179309356778
T351_1,布拉干薩街,RUA BRAGANÇA,T351,22.158822,113.55255,Taipa & Cotai,T351_1,3,3,3,80.08041124885536
T352_1,廣東大馬路/濠景,AV. KWONG TUNG / NOVA TAIPA,T352,22.159539,113.552623,Taipa & Cotai,T352_1,6,6,6,20.13340151408443
T353_1,廣東大馬路/濠尚,AV. KWONG TUNG / NOVA GRAND,T353,22.159552,113.552428,Taipa & Cotai,T353_1,5,5,5,20.13340151408443
T354_2,北安出入境事務大樓,EDIFÍCIO DE SERVIÇOS DE MIGRAÇÃO / PAC ON,T354,22.164034,113.570637,Taipa & Cotai,T354_2,7,7,7,84.96046940068825
T355_1,蓮花路停車場,AUTO-SILO DA ESTRADA FLOR DE LÓTUS,T355,22.138898,113.560792,Taipa & Cotai,T355_1,7,7,7,32.741516845487936
T355_2,蓮花路停車場,AUTO-SILO DA ESTRADA FLOR DE LÓTUS,T355,22.13892,113.560475,Taipa & Cotai,T355_2,6,7,7,32.741516845487936
T356_1,澳門機場,AEROPORTO DE MACAU,T356,22.157695,113.573802,Taipa & Cotai,T356_1,3,3,3,5.726551949036758
T356_2,澳門機場,AEROPORTO DE MACAU,T356,22.157669,113.573754,Taipa & Cotai,T356_2,2,2,2,5.726551949036758
T356_3,澳門機場,AEROPORTO DE MACAU,T356,22.157552,113.573529,Taipa & Cotai,T356_3,4,4,4,26.5736741103897
T358_1,偉龍/科大醫院,WAI LONG / M.U.S.T.-HOSPITAL,T358,22.154771,113.567933,Taipa & Cotai,T358_1,9,9,9,21.246395129928423
T359_1,蓮花圓形地,ROTUNDA FLOR DE LÓTUS,T359,22.140883,113.563572,Taipa & Cotai,T359_1,9,9,9,34.5139442427875
T360_1,連貫公路/新濠影匯,EST. DO ISTMO / STUDIO CITY,T360,22.140703,113.563299,Taipa & Cotai,T360_1,16,17,17,34.5139442427875
T361_1,運動場/賽馬會,ESTÁDIO / JOCKEY CLUB,T361,22.155425,113.552464,Taipa & Cotai,T361_1,10,10,10,36.54374869952686
T363_1,連貫公路/威尼斯人,EST. DO ISTMO / VENETIAN,T363,22.149228,113.56373,Taipa & Cotai,T363_1,5,5,5,26.0489467769779
T363_2,連貫公路/威尼斯人,EST. DO ISTMO / VENETIAN,T363,22.149462,113.563742,Taipa & Cotai,T363_2,4,4,4,26.0489467769779
T364_1,望德聖母灣馬路/軍營,EST. BAIA N. S. ESPERANÇA / QUARTEL,T364,22.150767,113.55498,Taipa & Cotai,T364_1,4,4,4,26.871226403469876
T364_2,望德聖母灣馬路/軍營,EST. BAIA N. S. ESPERANÇA / QUARTEL,T364,22.150659,113.555261,Taipa & Cotai,T364_2,3,3,3,20.72419217643733
T365_1,排角/銀河,PAI KOK / GALAXY,T365,22.150551,113.555097,Taipa & Cotai,T365_1,5,5,5,20.72419217643733
T365_2,排角/銀河,PAI KOK / GALAXY,T365,22.150732,113.554647,Taipa & Cotai,T365_2,2,2,2,34.515183335969475
T366_1,望德聖母灣馬路/紅樹林,EST. BAIA N. S. ESPERANÇA / MANGAL,T366,22.150087,113.559875,Taipa & Cotai,T366_1,8,8,8,232.43343005097415
T367_1,望德聖母灣馬路/連貫公路,EST. BAIA N. S. ESPERANÇA / ISTMO,T367,22.150481,113.562365,Taipa & Cotai,T367_1,9,9,9,181.52206623971676
T368_1,奧林匹克大馬路,AVENIDA OLÍMPICA,T368,22.156537,113.558845,Taipa & Cotai,T368_1,9,9,9,67.94260469253105
T369_1,基馬拉斯/氹仔中央公園,GUIMARÃES / PARQUE CENTRAL DA TAIPA,T369,22.158045,113.555484,Taipa & Cotai,T369_1,6,6,6,9.695919737747333
T370_1,基馬拉斯/濠珀,GUIMARÃES / NOVA PARK,T370,22.158014,113.555572,Taipa & Cotai,T370_1,6,6,6,9.695919737747333
T372_1,蓮花路/新濠影匯,EST. F. DE LÓTUS / STUDIO CITY,T372,22.139735,113.559969,Taipa & Cotai,T372_1,6,7,7,104.54084655014675
T373_1,偉龍/科技大學,WAI LONG / M.U.S.T.,T373,22.152082,113.565112,Taipa & Cotai,T373_1,7,7,7,34.331314523623554
T373_2,偉龍/科技大學,WAI LONG / M.U.S.T.,T373,22.151707,113.564791,Taipa & Cotai,T373_2,4,4,4,48.37373991812539
T374_1,澳門土木工程實驗室,L.E.C.M,T374,22.152142,113.564785,Taipa & Cotai,T374_1,9,9,9,34.331314523623554
T375_1,連貫公路/新濠天地,EST. DO ISTMO / C.O.D.,T375,22.149332,113.563982,Taipa & Cotai,T375_1,13,13,13,28.413128753922194
T376_1,連貫公路/巴黎人,EST. DO ISTMO / PARISIAN,T376,22.144434,113.56349,Taipa & Cotai,T376_1,6,6,6,39.29556394158772
T376_2,連貫公路/巴黎人,EST. DO ISTMO / PARISIAN,T376,22.144787,113.563508,Taipa & Cotai,T376_2,7,7,7,39.29556394158772
T377_1,路氹城馬路/巴黎人,AV. DE COTAI / PARISIAN,T377,22.142641,113.562097,Taipa & Cotai,T377_1,1,1,1,18.790615501458042
T378_1,路氹城馬路/新濠影匯,AV. DE COTAI / STUDIO CITY,T378,22.142477,113.562053,Taipa & Cotai,T378_1,4,5,5,18.790615501458042
T379_1,連貫公路/巴黎人花園,EST.DO ISTMO / LE JARDIN,T379,22.14381,113.563716,Taipa & Cotai,T379_1,9,9,9,73.18577910093617
T380_1,連貫公路/倫敦人,EST.DO ISTMO / LONDONER,T380,22.146191,113.56383,Taipa & Cotai,T380_1,12,12,12,159.6011984873801
T384_1,蓮花路/體育館馬路,EST. F. DE LÓTUS / AV. DA NAVE DESPORTIVA,T384,22.138612,113.567497,Taipa & Cotai,T384_1,5,5,5,32.50632282188216
T385_1,蓮花路/蓮花圓形地-1,EST. F. DE LÓTUS / ROTUNDA F. DE LÓTUS-1,T385,22.138407,113.567722,Taipa & Cotai,T385_1,6,6,6,32.50632282188216
T386_1,蓮花路/蓮花圓形地-2,EST. F. DE LÓTUS / ROTUNDA F. DE LÓTUS-2,T386,22.139045,113.564464,Taipa & Cotai,T386_1,5,5,5,219.9699294013221
T387_1,東亞運/保齡球中心,JOGOS DA ÁSIA ORIENTAL / CENTRO DE BOWLING,T387,22.14344,113.568865,Taipa & Cotai,T387_1,3,3,3,60.11235361780948
T388_1,東亞運/巴黎人花園,JOGOS DA ÁSIA ORIENTAL / LE JARDIN,T388,22.142956,113.568605,Taipa & Cotai,T388_1,3,3,3,60.11235361780948
T389_1,澳門東亞運動會體育館,N. D. DOS J. DA ÁSIA ORIENTAL DE MACAU,T389,22.139863,113.568514,Taipa & Cotai,T389_1,3,3,3,174.13273644734247
T391_1,霍英東馬路/科技大學,AV. DR. HENRY FOK / M. U. S. T.,T391,22.150367,113.566863,Taipa & Cotai,T391_1,2,2,2,147.95973501177988
T392_1,霍英東馬路/新濠天地,AV. DR. HENRY FOK / C.O.D.,T392,22.150239,113.565433,Taipa & Cotai,T392_1,3,3,3,147.95973501177988
T394_1,新城大馬路/威尼斯人,AV. CIDADE NOVA / VENETIAN,T394,22.148796,113.5581,Taipa & Cotai,T394_1,4,4,4,20.17174111907897
T395_1,新城大馬路/銀河,AV. CIDADE NOVA / GALAXY,T395,22.148813,113.557905,Taipa & Cotai,T395_1,3,3,3,20.17174111907897
T396_1,路氹西/金光會展,COTAI OESTE / COTAI EXPO,T396,22.144343,113.557896,Taipa & Cotai,T396_1,4,4,4,52.87398751185696
T397_1,路氹西/銀河,COTAI OESTE / GALAXY,T397,22.144784,113.557704,Taipa & Cotai,T397_1,3,3,3,52.87398751185696
T399_1,路氹東/永利皇宮,COTAI LESTE / WYNN PALACE,T399,22.147233,113.569294,Taipa & Cotai,T399_1,3,3,3,213.52707823192128
T400_1,路氹東/新濠天地,COTAI LESTE / C.O.D.,T400,22.149102,113.568818,Taipa & Cotai,T400_1,3,3,3,151.10892333835233
T401_1,雞頸馬路/孝思-1,EST. DA PONTA DA CABRITA / HAU SI-1,T401,22.161734,113.565914,Taipa & Cotai,T401_1,1,1,1,315.52239663525864
T402_1,泉澧花園,CHUN LAI GARDEN,T402,22.161258,113.556167,Taipa & Cotai,T402_1,9,9,9,47.45538819626355
T403_1,史伯泰/麗景灣,ESPARTEIRO / REGENCY,T403,22.162749,113.553651,Taipa & Cotai,T403_1,15,15,15,99.86670961730378
T404_1,駕駛學習暨考試中心,CENTRO DE APRENDIZAGEM E EXAMES DE CONDUÇÃO,T404,22.151252,113.575361,Taipa & Cotai,T404_1,2,2,2,341.43262409027085
T406_1,機場圓形地/偉龍,ROTUNDA DO AEROPORTO / WAI LONG,T406,22.154949,113.567858,Taipa & Cotai,T406_1,7,7,7,21.246395129928423
T407_1,霍英東馬路/永利皇宮,AV.DR.HENRY FOK / WYNN PALACE,T407,22.150199,113.569684,Taipa & Cotai,T407_1,4,4,4,151.10892333835233
T408_1,湖畔大廈,EDIFÍCIO DO LAGO,T408,22.158919,113.561032,Taipa & Cotai,T408_1,5,5,5,15.95642581687683
T408_2,湖畔大廈,EDIFÍCIO DO LAGO,T408,22.159012,113.56115,Taipa & Cotai,T408_2,3,3,3,15.95642581687683
T408_5,湖畔大廈,EDIFÍCIO DO LAGO,T408,22.158801,113.561129,Taipa & Cotai,T408_5,2,2,2,12.183084974414438
T408_6,湖畔大廈,EDIFÍCIO DO LAGO,T408,22.158898,113.561247,Taipa & Cotai,T408_6,6,6,6,16.139149448495147
T408_8,湖畔大廈,EDIFÍCIO DO LAGO,T408,22.158692,113.561117,Taipa & Cotai,T408_8,1,1,2,12.183084974414438
T408_9,湖畔大廈,EDIFÍCIO DO LAGO,T408,22.158679,113.561248,Taipa & Cotai,T408_9,1,1,1,11.790710530072062
T408_10,湖畔大廈,EDIFÍCIO DO LAGO,T408,22.158776,113.561366,Taipa & Cotai,T408_10,1,1,1,16.248227636809478
T408_12,湖畔大廈,EDIFÍCIO DO LAGO,T408,22.158573,113.561251,Taipa & Cotai,T408_12,1,1,2,11.790710530072062
T409_1,湖畔公園,JARDIM DO LAGO,T409,22.15874,113.562122,Taipa & Cotai,T409_1,7,7,7,77.95748205371936
T410_1,雞頸馬路/孝思-2,EST. DA PONTA DA CABRITA / HAU SI-2,T410,22.160584,113.568715,Taipa & Cotai,T410_1,1,1,1,202.53503064853774
T411_1,金皇冠中國大酒店,HOTEL CHINA COROA D'OURO,T411,22.159,113.573716,Taipa & Cotai,T411_1,1,1,1,145.37939898908928
T412_1,氹仔中央公園/成都街,PARQUE CENTRAL DA TAIPA / R. SENG TOU,T412,22.158352,113.55445,Taipa & Cotai,T412_1,3,3,3,111.82217200590831
T413_1,氹仔中央公園/哥英布拉街,PARQUE CENTRAL DA TAIPA / RUA DE COIMBRA,T413,22.158897,113.555478,Taipa & Cotai,T413_1,3,3,3,94.74009248009773
T414_1,永進馬路/美獅美高梅,AV. DO PROGRESSO / MGM COTAI,T414,22.14545,113.566955,Taipa & Cotai,T414_1,1,1,1,297.74206724715486
T415_1,路氹新城,NOVA CIDADE DE COTAI,T415,22.141698,113.566767,Taipa & Cotai,T415_1,1,1,1,235.37878725811896
T417_1,科大/機場貨運站,M.U.S.T. / TERMINAL DE CARGA DO AEROPORTO,T417,22.153166,113.57041,Taipa & Cotai,T417_1,5,5,5,25.162461441608706
T418_1,機場大馬路/輕軌車廠,AV. DO AEROPORTO / OFICINA DO METRO LIGEIRO,T418,22.148933,113.573188,Taipa & Cotai,T418_1,4,4,4,157.32295873839837
T419_1,機場大馬路/永利皇宮,AV. DO AEROPORTO / WYNN PALACE,T419,22.150038,113.572234,Taipa & Cotai,T419_1,4,4,4,157.32295873839837
T420_1,蓮花海濱大馬路/銀河-1,AV. M. FLOR DE LÓTUS / GALAXY - 1,T420,22.149603,113.551383,Taipa & Cotai,T420_1,6,6,6,120.45554146000195
T421_1,皇庭海景酒店,POUSADA MARINA INFANTE,T421,22.150561,113.550837,Taipa & Cotai,T421_1,7,7,7,120.45554146000195
T422_1,蓮花海濱大馬路/銀河-2,AV. M. FLOR DE LÓTUS / GALAXY-2,T422,22.145125,113.552617,Taipa & Cotai,T422_1,7,7,7,52.24825401512411
T423_1,蓮花海濱大馬路/百老匯,AV. M. FLOR DE LÓTUS / BROADWAY,T423,22.145575,113.552471,Taipa & Cotai,T423_1,8,8,8,52.24825401512411
T424_1,海濱圓形地/生態保護區,ROTUNDA MARGINAL / ZONAS ECOLÓGICAS,T424,22.141399,113.552568,Taipa & Cotai,T424_1,10,10,10,40.509571920335375
T425_1,海濱圓形地/西堤馬路,ROTUNDA MARGINAL / EST. DO DIQUE OESTE,T425,22.141078,113.552382,Taipa & Cotai,T425_1,10,10,10,40.509571920335375
T426_1,澳大河隧/高爾夫俱樂部,TÚNEL S. DA UM / CLUBE DE GOLFE,T426,22.134897,113.552531,Taipa & Cotai,T426_1,2,2,2,107.3479488335845
T427_1,澳大河隧/西堤馬路,TÚNEL S. DA UM / EST. DO DIQUE OESTE,T427,22.133949,113.552334,Taipa & Cotai,T427_1,2,2,2,107.3479488335845
T428_1,聚龍明珠/榮苑,TJOI LONG SEA VIEW / BLOCO 1,T428,22.165636,113.558927,Taipa & Cotai,T428_1,2,2,2,242.32968645042675
T429_1,機場大馬路/科大醫院,AV. DO AEROPORTO / M. U. S. T.-HOSPITAL,T429,22.153213,113.570171,Taipa & Cotai,T429_1,2,2,2,25.162461441608706
T430_1,海洋花園/玫瑰苑,JARDINS DO OCEANO / ROSE COURT,T430,22.162146,113.541646,Taipa & Cotai,T430_1,6,6,6,82.13477721822893
T431_1,西灣大橋/海洋大馬路,PONTE DE SAI VAN / AV. DO OCEANO,T431,22.162856,113.541866,Taipa & Cotai,T431_1,6,6,6,82.13477721822893
T432_1,日昇樓,EDIFÍCIO IAT SENG,T432,22.16379,113.560896,Taipa & Cotai,T432_1,2,2,2,163.3453651033297
T433_1,機場大馬路/航空圓形地,AV. DO AEROPORTO / ROTUNDA DA AERONÁUTICA,T433,22.146682,113.574664,Taipa & Cotai,T433_1,4,4,4,215.16388020551733
T434_1,機場大馬路/上葡京,AV. DO AEROPORTO / GRAND LISBOA PALACE,T434,22.144942,113.575578,Taipa & Cotai,T434_1,3,3,3,215.16388020551733
T435_1,溜冰路/葡京人,RUA DA PATINAGEM / LISBOETA,T435,22.141272,113.572295,Taipa & Cotai,T435_1,3,3,3,259.12946334177275
T436_1,溜冰路/東亞運體育館,RUA DA PATINAGEM / N. D. DOS J. DA ÁSIA ORIENTAL,T436,22.138945,113.572159,Taipa & Cotai,T436_1,2,2,2,228.9913104908768
T440_1,松樹尾總站,CHUN SU MEI / TERMINAL,T440,22.154414,113.557405,Taipa & Cotai,T440_1,1,1,2,122.66971144098024
T550_1,澳門大學總站,UNIVERSIDADE DE MACAU / TERMINAL,T550,22.135625,113.546615,Taipa & Cotai,T550_1,2,3,4,34.91674636524828
T550_2,澳門大學總站,UNIVERSIDADE DE MACAU / TERMINAL,T550,22.135625,113.546276,Taipa & Cotai,T550_2,1,1,2,12.010818754244166
T550_4,澳門大學總站,UNIVERSIDADE DE MACAU / TERMINAL,T550,22.135733,113.546278,Taipa & Cotai,T550_4,3,3,6,12.010818754244166
T551_1,澳大/研究生宿舍,UM / RESIDÊNCIA DE E. DE PÓS-GRADUAÇÃO,T551,22.124774,113.546265,Taipa & Cotai,T551_1,4,4,4,6.567774611672649
T551_2,澳大/研究生宿舍,UM / RESIDÊNCIA DE E. DE PÓS-GRADUAÇÃO,T551,22.124833,113.546268,Taipa & Cotai,T551_2,2,2,2,6.567774611672649
T552_1,澳大/中央教學樓,UM / SALA DE AULAS:EDIFÍCIO CENTRAL,T552,22.128049,113.546523,Taipa & Cotai,T552_1,6,6,6,258.30589674449726
T553_1,澳大/大學展館,UM / GALERIA DA UNIVERSIDADE,T553,22.130372,113.546525,Taipa & Cotai,T553_1,6,6,6,28.64263036830304
T554_1,澳大/大學會堂,UM / AULA MAGNA DA UNIVERSIDADE,T554,22.134058,113.54642,Taipa & Cotai,T554_1,6,6,6,10.424411948385359
T555_2,澳大/綜合體育館,UM / COMPLEXO DESPORTIVO,T555,22.133959,113.543275,Taipa & Cotai,T555_2,6,6,6,31.87241638097148
T556_1,澳大/行政樓,UM / EDIFÍCIO ADMINISTRATIVO,T556,22.134107,113.54354,Taipa & Cotai,T556_1,6,6,6,31.87241638097148
T557_1,大學北,NORTE DA UNIVERSIDADE,T557,22.134052,113.546521,Taipa & Cotai,T557_1,6,6,6,10.424411948385359
T558_1,大學大馬路,AVENIDA DA UNIVERSIDADE,T558,22.130378,113.546803,Taipa & Cotai,T558_1,6,6,6,28.64263036830304
T559_1,大學南,SUL DA UNIVERSIDADE,T559,22.124183,113.546231,Taipa & Cotai,T559_1,6,6,6,65.80945923933264
T560_1,橫琴澳方口岸,POSTO FRONTEIRIÇO MACAU - HENGQIN,T560,22.140789,113.546225,Taipa & Cotai,T560_1,1,2,4,24.47350573547504
T560_2,橫琴澳方口岸,POSTO FRONTEIRIÇO MACAU - HENGQIN,T560,22.140569,113.546232,Taipa & Cotai,T560_2,1,1,1,24.47350573547504
T560_3,橫琴澳方口岸,POSTO FRONTEIRIÇO MACAU - HENGQIN,T560,22.140545,113.545738,Taipa & Cotai,T560_3,3,5,6,50.94978736308317
C650_1,石排灣馬路/擎天匯,EST. SEAK PAI VAN / PRAIA PARK,C650,22.131395,113.560418,Coloane,C650_1,2,2,2,74.9110994496658
C651_1,路環小型賽車場,KARTÓDROMO DE COLOANE,C651,22.131476,113.56114,Coloane,C651_1,2,2,2,74.9110994496658
C652_1,安順大廈,EDIFÍCIO ON SON,C652,22.128262,113.558738,Coloane,C652_1,8,8,8,13.174513378907765
C653_1,金峰南岸/金譽峰,ONE OASIS / MAHOGANY TOWER,C653,22.128164,113.558597,Coloane,C653_1,1,1,1,6.697062301239764
C653_2,金峰南岸/金譽峰,ONE OASIS / MAHOGANY TOWER,C653,22.128221,113.558618,Coloane,C653_2,8,8,8,6.697062301239764
C654_1,聯生圓形地總站,ROTUNDA DA CONCÓRDIA / TERMINAL,C654,22.125589,113.554964,Coloane,C654_1,1,2,2,13.258165244639201
C654_2,聯生圓形地總站,ROTUNDA DA CONCÓRDIA / TERMINAL,C654,22.1257,113.554917,Coloane,C654_2,5,5,5,13.258165244639201
C654_3,聯生圓形地總站,ROTUNDA DA CONCÓRDIA / TERMINAL,C654,22.125851,113.554931,Coloane,C654_3,2,2,2,16.85224898619193
C655_1,石排灣郊野公園,PARQUE DE SEAC PAI VAN,C655,22.125432,113.555331,Coloane,C655_1,7,7,7,41.63973993141755
C656_1,路環警察訓練營-2,EST. DO CAMPO / PSP-2,C656,22.120534,113.553447,Coloane,C656_1,7,7,7,6.028876991883946
C657_1,路環警察訓練營-1,EST. DO CAMPO / PSP-1,C657,22.120511,113.5535,Coloane,C657_1,7,7,7,6.028876991883946
C658_1,九澳七苦聖母小堂,IGREJA DE NOSSA SENHORA DAS DORES(KÁ HÓ),C658,22.131825,113.588658,Coloane,C658_1,1,1,1,154.57619428673047
C659_1,路環街市,MERCADO M. DE COLOANE,C659,22.117795,113.552048,Coloane,C659_1,3,3,3,50.20653171123068
C660_1,路環居民大會堂,ASSOC. DE M. DE COLOANE,C660,22.117981,113.552503,Coloane,C660_1,3,3,3,51.23089904011768
C661_1,路環監獄-2,CADEIA DE COLOANE - 2,C661,22.117951,113.555241,Coloane,C661_1,3,3,3,7.977675818369847
C662_1,路環監獄-1,CADEIA DE COLOANE - 1,C662,22.118015,113.555206,Coloane,C662_1,3,3,3,7.977675818369847
C663_1,竹灣泳池-2,EST. CHEOC VAN / PISCINA - 2,C663,22.114574,113.55796,Coloane,C663_1,3,3,3,27.799403565127808
C664_1,竹灣泳池-1,EST. CHEOC VAN / PISCINA - 1,C664,22.114778,113.557804,Coloane,C664_1,3,3,3,27.799403565127808
C665_1,竹灣馬路-2,EST. CHEOC VAN-2,C665,22.11423,113.560381,Coloane,C665_1,3,3,3,76.20713186595769
C666_1,竹灣馬路-1,EST. CHEOC VAN-1,C666,22.114545,113.561038,Coloane,C666_1,3,3,3,76.20713186595769
C667_1,竹灣海灘-1,PRAIA CHEOC VAN - 1,C667,22.112945,113.563538,Coloane,C667_1,3,3,3,12.525555059914177
C668_1,竹灣海灘-2,PRAIA CHEOC VAN - 2,C668,22.112851,113.563471,Coloane,C668_1,3,3,3,12.525555059914177
C669_1,黑沙海灘,PRAIA DE HAC SÁ,C669,22.118268,113.569365,Coloane,C669_1,3,3,3,49.9371479756844
C669_2,黑沙海灘,PRAIA DE HAC SÁ,C669,22.118717,113.569355,Coloane,C669_2,3,3,3,49.9371479756844
C670_1,鷺環海天酒店-2,GRAND COLOANE RESORT-2,C670,22.126586,113.575706,Coloane,C670_1,2,2,2,62.582209047344804
C671_1,鷺環海天酒店-1,GRAND COLOANE RESORT-1,C671,22.127008,113.576108,Coloane,C671_1,2,2,2,62.582209047344804
C672_1,九澳村,POVOAÇÃO DE KÁ-HÓ,C672,22.132049,113.581511,Coloane,C672_1,1,1,1,189.90118916042434
C673_1,九澳聖若瑟學校,ESCOLA DE S. JOSÉ DE KÁ-HÓ,C673,22.133522,113.582444,Coloane,C673_1,2,3,3,189.90118916042434
C674_1,九澳油庫,T. DE COMBUSTÍVEIS DO P. DE KÁ-HÓ,C674,22.133494,113.589363,Coloane,C674_1,1,2,2,199.28529332313968
C675_1,竹灣豪園-2,VILA CHOK WAN HOU UN-2,C675,22.113174,113.566673,Coloane,C675_1,3,3,3,46.32766110986257
C676_1,竹灣豪園-1,VILA CHOK WAN HOU UN-1,C676,22.113318,113.566251,Coloane,C676_1,3,3,3,46.32766110986257
C677_1,竹灣燒烤公園-1,CHEOC VAN / PICNIC-1,C677,22.114453,113.562483,Coloane,C677_1,3,3,3,90.30550579128197
C678_1,竹灣燒烤公園-2,CHEOC VAN / PICNIC-2,C678,22.113661,113.562677,Coloane,C678_1,3,3,3,90.30550579128197
C679_1,黑沙水庫-2,BARRAGEM DE HAC SÁ-2,C679,22.123818,113.571605,Coloane,C679_1,2,2,2,86.57868392163405
C680_1,海蘭花園/蘭苑,HELLENE GARDEN / ORCHIDS VILLA,C680,22.11635,113.569539,Coloane,C680_1,3,3,3,132.53515173110887
C681_1,黑沙水庫-1,BARRAGEM DE HAC SÁ-1,C681,22.123845,113.570765,Coloane,C681_1,2,2,2,86.57868392163405
C682_1,和諧圓形地,ROTUNDA DA HARMONIA,C682,22.131812,113.558119,Coloane,C682_1,2,2,2,13.815777546536465
C683_1,重型車輛駕考中心,CENTRO DE EXM. DE CONDUÇÃO DOS AUTO. PESADOS,C683,22.131694,113.558077,Taipa & Cotai,C683_1,2,2,2,13.815777546536465
C685_1,聖路濟亞中心,CENTRO DE SANTA LUCIA,C685,22.130773,113.587677,Coloane,C685_1,1,1,1,154.57619428673047
C686_1,路環市區,VILA DE COLOANE,C686,22.118113,113.551702,Coloane,C686_1,4,4,4,50.20653171123068
C687_1,海蘭花園/黑沙,HELLENE GARDEN / HAC SÁ,C687,22.117016,113.568472,Coloane,C687_1,3,3,3,132.53515173110887
C688_1,和諧廣場/業興大廈,AL. DA HARMONIA / EDF. IP HENG,C688,22.12984,113.563059,Coloane,C688_1,9,9,9,23.796606020409193
C688_2,和諧廣場/業興大廈,AL. DA HARMONIA / EDF. IP HENG,C688,22.129626,113.563061,Coloane,C688_2,6,6,6,23.796606020409193
C689_1,和諧廣場/樂群樓,AL. DA HARMONIA / EDF. LOK KUAN,C689,22.12963,113.562788,Coloane,C689_1,7,7,7,23.240652718866063
C689_2,和諧廣場/樂群樓,AL. DA HARMONIA / EDF. LOK KUAN,C689,22.129839,113.562786,Coloane,C689_2,10,10,10,23.240652718866063
C690_1,蝴蝶谷大馬路總站,AV. VALE DAS BORBOLETAS / TERMINAL,C690,22.128765,113.56223,Coloane,C690_1,1,2,2,9.007378032970351
C690_2,蝴蝶谷大馬路總站,AV. VALE DAS BORBOLETAS / TERMINAL,C690,22.128765,113.562363,Coloane,C690_2,3,5,6,9.006789058455977
C690_3,蝴蝶谷大馬路總站,AV. VALE DAS BORBOLETAS / TERMINAL,C690,22.128765,113.562497,Coloane,C690_3,1,1,2,8.896190467926528
C690_4,蝴蝶谷大馬路總站,AV. VALE DAS BORBOLETAS / TERMINAL,C690,22.128684,113.562231,Coloane,C690_4,1,1,2,9.007378032970351
C690_5,蝴蝶谷大馬路總站,AV. VALE DAS BORBOLETAS / TERMINAL,C690,22.128684,113.562363,Coloane,C690_5,1,1,2,9.006789058455977
C690_6,蝴蝶谷大馬路總站,AV. VALE DAS BORBOLETAS / TERMINAL,C690,22.128685,113.562498,Coloane,C690_6,2,2,3,8.896190467926528
C691_1,樂居大馬路/居雅大廈,AV. DE LOK KOI / EDF. KOI NGA,C691,22.129378,113.560984,Coloane,C691_1,8,8,8,13.38936696243886
C692_1,樂居大馬路/樂群樓,AV. DE LOK KOI / EDF. LOK KUAN,C692,22.129422,113.561105,Coloane,C692_1,8,8,8,13.38936696243886
C693_1,黑沙村-1,POVOAÇÃO DE HAC SÁ-1,C693,22.118029,113.566291,Coloane,C693_1,2,2,2,60.83940018539449
C694_1,黑沙村-2,POVOAÇÃO DE HAC SÁ-2,C694,22.117555,113.566586,Coloane,C694_1,2,2,2,60.83940018539449
C695_1,九澳水庫郊野公園-1,PARQUE DE M. DA BARRAGEM DE KÁ-HÓ - 1,C695,22.133902,113.578425,Coloane,C695_1,2,2,2,7.03130353783727
C696_1,九澳水庫郊野公園-2,PARQUE DE M. DA BARRAGEM DE KÁ-HÓ - 2,C696,22.13388,113.578489,Coloane,C696_1,1,1,1,7.03130353783727
C700_1,澳門鏡湖護理學院,Instituto de Enfermagem Kiang Wu de Macau,C700,22.136499,113.568476,Taipa & Cotai,C700_1,2,2,2,225.9269212247508
M800_7,港珠澳大橋邊檢大樓,POSTO FRONTEIRIÇO DA PONTE HONG KONG-ZHUHAI-MACAU,M800,22.201473,113.574388,Macau Peninsula,M800_7,1,2,2,15.137477536938125
M800_8,港珠澳大橋邊檢大樓,POSTO FRONTEIRIÇO DA PONTE HONG KONG-ZHUHAI-MACAU,M800,22.201476,113.574241,Macau Peninsula,M800_8,1,1,2,15.137477536938125
TEMP_14_1,臨時站,PARAGEM PROVISÓRIA,TEMP_14,22.198063,113.542702,Macau Peninsula,TEMP_14_1,1,1,1,130.02767034419568
