"id","name","fileName","size","datasetUrl","downloadUrl"
"4b130d1f-424f-4016-a1a2-20f8946a756e","交通安全講座人數及場數統計☯交通安全讲座人数及场数统计☯Palestra sobre a Segurança no Trânsito (Vezes e N.º de pessoas)☯Traffic safety seminar attendance and number statistics","交通安全講座人數及場數統計.xlsx","6716","https://data.gov.mo/Detail?id=4b130d1f-424f-4016-a1a2-20f8946a756e","https://api.data.gov.mo/document/download/4b130d1f-424f-4016-a1a2-20f8946a756e?fileId=2167&isNeedFile=1&lang=TC"
"4f403b89-6d16-42d6-8092-2babc5522dab","交通罰款總金額☯交通罰款總金額☯Valor total das multas de trânsito☯Total amount of traffic fines","交通罰款總金額.xlsx","6915","https://data.gov.mo/Detail?id=4f403b89-6d16-42d6-8092-2babc5522dab","https://api.data.gov.mo/document/download/4f403b89-6d16-42d6-8092-2babc5522dab?fileId=1470&isNeedFile=1&lang=TC"
"51236f98-6f30-4530-965e-feed65ee2a2c","陸路口岸跨境汽車流量(車種)☯陆路口岸跨境汽车流量(车种)☯Movimento de automóveis transfronteiriços passados pelos postos fronteiriços terrestres (Veículos)☯Cross-border vehicle flow at land ports (vehicle types)","陸路口岸跨境汽車流量(車種).xlsx","10793","https://data.gov.mo/Detail?id=51236f98-6f30-4530-965e-feed65ee2a2c","https://api.data.gov.mo/document/download/51236f98-6f30-4530-965e-feed65ee2a2c?fileId=1089&isNeedFile=1&lang=TC"
"52ec22d4-f6de-4577-a607-9701b63a3dbc","「星級旅遊服務認可計劃」獲獎旅行社☯「星级旅游服务认可计划」获奖旅行社☯“Programa de Avaliação de Serviços Turísticos de Qualidade”Agência de Viagens Premiados☯“Quality Tourism Services Accreditation Scheme”Awarded Travel Agency","dst_qtsastravelagency.xml","4027","https://data.gov.mo/Detail?id=52ec22d4-f6de-4577-a607-9701b63a3dbc","https://api.data.gov.mo/document/download/52ec22d4-f6de-4577-a607-9701b63a3dbc?fileId=985&isNeedFile=1&lang=TC"
"5fdb54a5-5faf-457c-bd88-cdd3ef4a5768","獲發使用准照酒店資料☯获发使用准照酒店资料☯Informações sobre os empreendimentos hoteleiros com licença de utilização☯Information on the hotels issued with a license to use","獲發使用准照酒店資料.xlsx","10022","https://data.gov.mo/Detail?id=5fdb54a5-5faf-457c-bd88-cdd3ef4a5768","https://api.data.gov.mo/document/download/5fdb54a5-5faf-457c-bd88-cdd3ef4a5768?fileId=1110&isNeedFile=1&lang=TC"
"64e7adeb-a376-4129-a48f-72f2bd4dda63","巴士司機數量 ☯巴士司机数量☯Número de condutores de autocarros☯Number of bus drivers","Number_of_bus_drivers.xlsx","9348","https://data.gov.mo/Detail?id=64e7adeb-a376-4129-a48f-72f2bd4dda63","https://api.data.gov.mo/document/download/64e7adeb-a376-4129-a48f-72f2bd4dda63?fileId=996&isNeedFile=1&lang=TC"
"664dc0a1-723f-4741-b6f4-7594a5c5edb0","酒店入住率及平均房價☯酒店入住率及平均房价☯Taxa de ocupação hoteleira e preço médio por quarto☯Hotel Occupancy Rate and Average Room Rate","dst_mhaRoomRate.xlsx","31","https://data.gov.mo/Detail?id=664dc0a1-723f-4741-b6f4-7594a5c5edb0","https://api.data.gov.mo/document/download/664dc0a1-723f-4741-b6f4-7594a5c5edb0?fileId=1930&isNeedFile=1&lang=TC"
"6676880c-affd-4824-b88d-b6f927519fc7","黃金周統計數據 - 入境旅客☯黄金周统计数据-入境旅客☯Dados estatísticos da semana dourada - Movimento de visitantes☯Golden Week Statistics - Visitor Arrivals","dst_goldenweekvisitor.xlsx","31","https://data.gov.mo/Detail?id=6676880c-affd-4824-b88d-b6f927519fc7","https://api.data.gov.mo/document/download/6676880c-affd-4824-b88d-b6f927519fc7?fileId=1895&isNeedFile=1&lang=TC"
"68b1b377-b321-49fa-818e-fcee26dfd4dd","酒店及娛樂場穿梭巴士車輛數量☯酒店及娱乐场穿梭巴士车辆数量☯N.º de autocarros shuttle dos hotéis e casinos☯N.º de autocarros shuttle dos hotéis e casinos","Number_of_hotel_casino_shuttle_bus.xlsx","9496","https://data.gov.mo/Detail?id=68b1b377-b321-49fa-818e-fcee26dfd4dd","https://api.data.gov.mo/document/download/68b1b377-b321-49fa-818e-fcee26dfd4dd?fileId=2050&isNeedFile=1&lang=TC"
"68da7e48-76e0-4a6c-a8dd-d3db330520eb","預計將落成酒店場所統計☯预计将落成酒店场所统计☯Estatísticas da previsão dos novos projectos hoteleiros☯Statistics on Projected New Hotel Developments","dst_hotelStatApply_v2.xml","1189","https://data.gov.mo/Detail?id=68da7e48-76e0-4a6c-a8dd-d3db330520eb","https://api.data.gov.mo/document/download/68da7e48-76e0-4a6c-a8dd-d3db330520eb?fileId=1929&isNeedFile=1&lang=TC"
